Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
ftv38.atsp;20;10;5000;4;2;0;1;1565;;;;;;;;;;;;
ftv38.atsp;20;10;5000;4;2;0;1;1575;;;;;;;;;;;;
ftv38.atsp;20;10;5000;4;2;0;1;1559;;;;;;;;;;;;
ftv38.atsp;20;10;5000;4;2;0;1;1556;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv38.atsp;20;10;5000;4;2;0;1;1567;1564.4;1530;1556;1575;7.402702209;0.02248366;0.004838367;;2.248366013;0.483836746;1.699346405;2.941176471
ftv38.atsp;20;20;5000;4;2;0;1;1547;;;;;;;;;;;;
ftv38.atsp;20;20;5000;4;2;0;1;1547;;;;;;;;;;;;
ftv38.atsp;20;20;5000;4;2;0;1;1532;;;;;;;;;;;;
ftv38.atsp;20;20;5000;4;2;0;1;1547;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv38.atsp;20;20;5000;4;2;0;1;1561;1546.8;1530;1532;1561;10.25670512;0.010980392;0.006703729;;1.098039216;0.670372884;0.130718954;2.026143791
ftv38.atsp;20;30;5000;4;2;0;1;1547;;;;;;;;;;;;
ftv38.atsp;20;30;5000;4;2;0;1;1549;;;;;;;;;;;;
ftv38.atsp;20;30;5000;4;2;0;1;1532;;;;;;;;;;;;
ftv38.atsp;20;30;5000;4;2;0;1;1530;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ftv38.atsp;20;30;5000;4;2;0;1;1547;1541;1530;1530;1549;9.192388155;0.007189542;0.006008097;;0.718954248;0.600809683;0;1.241830065
ftv38.atsp;20;40;5000;4;2;0;1;1547;;;;;;;;;;;;
ftv38.atsp;20;40;5000;4;2;0;1;1547;;;;;;;;;;;;
ftv38.atsp;20;40;5000;4;2;0;1;1532;;;;;;;;;;;;
