Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;1000;0.1;1000;0.9;1;0;88000;2164;0.267613
ftv47.atsp;1000;0.01;1000;0.95;1;0;225000;2164;0.561464
ftv47.atsp;100;0.1;100;0.9;1;1;6600;2166;0.0187706
ftv47.atsp;100;0.1;100;0.99;1;0;68800;2167;0.174943
ftv47.atsp;100;0.1;1000;0.9;1;0;66000;2167;0.167432
ftv47.atsp;1000;0.01;1000;0.95;1;0;225000;2167;0.576429
ftv47.atsp;1000;0.001;1000;0.99;1;0;1375000;2167;3.38152
ftv47.atsp;1000;0.01;10;0.99;1;1;11460;2168;0.0327412
ftv47.atsp;100;0.001;1000;0.85;1;1;71000;2169;0.187335
ftv47.atsp;100;0.001;100;0.9;1;1;11000;2170;0.0284217
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2170;0.0592997
ftv47.atsp;1000;0.001;1000;0.9;1;0;132000;2170;0.337686
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2171;0.248208
ftv47.atsp;1000;0.1;1000;0.85;1;0;57000;2172;0.149331
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2173;2.27162
ftv47.atsp;1000;0.1;100;0.95;1;1;18000;2173;0.0541072
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2174;2.32288
ftv47.atsp;100;0.1;100;0.95;1;1;13500;2175;0.0374858
ftv47.atsp;100;0.1;100;0.99;1;0;68800;2175;0.174815
ftv47.atsp;1000;0.001;1000;0.9;1;0;132000;2175;0.324468
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2176;0.169809
ftv47.atsp;100;0.1;10;0.99;1;1;6880;2177;0.0187286
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2177;0.219448
ftv47.atsp;1000;0.01;10;0.99;1;1;11460;2177;0.029989
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2178;2.51727
ftv47.atsp;1000;0.001;1000;0.9;1;0;132000;2179;0.330686
ftv47.atsp;1000;0.001;1000;0.9;1;0;132000;2179;0.319592
ftv47.atsp;100;0.01;10;0.99;1;1;9170;2180;0.0229826
ftv47.atsp;1000;0.1;1000;0.99;1;0;917000;2181;2.48818
ftv47.atsp;1000;0.01;100;0.95;1;1;22500;2181;0.0637766
ftv47.atsp;1000;0.1;100;0.99;1;0;91700;2183;0.22624
ftv47.atsp;1000;0.001;100;0.95;1;1;27000;2183;0.0680128
ftv47.atsp;100;0.01;10;0.99;1;1;9170;2185;0.0237473
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2186;2.33008
ftv47.atsp;1000;0.1;100;0.9;1;1;8800;2187;0.0223672
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2188;0.168398
ftv47.atsp;1000;0.1;1000;0.95;1;0;180000;2188;0.495067
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2190;2.84406
ftv47.atsp;1000;0.1;10;0.99;1;1;9170;2190;0.0230873
ftv47.atsp;1000;0.01;1000;0.9;1;0;110000;2190;0.277949
ftv47.atsp;100;0.001;10;0.99;1;1;11460;2191;0.0299516
ftv47.atsp;1000;0.01;1000;0.85;1;0;71000;2191;0.173541
ftv47.atsp;100;0.01;1000;0.85;1;0;57000;2192;0.147246
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2192;0.347638
ftv47.atsp;1000;0.001;1000;0.99;1;0;1375000;2192;3.40189
ftv47.atsp;100;0.01;100;0.95;1;1;18000;2193;0.0447477
ftv47.atsp;100;0.001;100;0.85;1;1;7100;2193;0.0188763
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2193;2.85164
ftv47.atsp;100;0.1;100;0.95;1;1;13500;2194;0.0350432
ftv47.atsp;100;0.001;100;0.99;1;0;114600;2194;0.325326
ftv47.atsp;1000;0.1;100;0.99;1;0;91700;2196;0.235506
