Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ftv47.atsp;20576;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20611;ms;1833;1833;1833;1833;1833;1833;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20553;ms;1957;1957;1957;1957;1957;1957;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20578;ms;1872;1872;1872;1872;1872;1872;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20631;ms;1946;1946;1946;1946;1946;1946;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20585;ms;1930;1930;1930;1930;1930;1930;1903,8;1833;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19288;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19267;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19257;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19157;ms;1664;1664;1664;1664;1664;1664;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19211;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19226;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19061;ms;1634;1634;1634;1634;1634;1634;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19082;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19133;ms;1649;1649;1649;1649;1649;1649;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19257;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19200;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19229;ms;1673;1673;1673;1673;1673;1673;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19250;ms;1662;1662;1662;1662;1662;1662;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19140;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19134;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19152;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19249;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19246;ms;1662;1662;1662;1662;1662;1662;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19132;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19104;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19126;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19132;ms;1634;1634;1634;1634;1634;1634;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19163;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19152;ms;1664;1664;1664;1664;1664;1664;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19416;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19136;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19210;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19084;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19272;ms;1662;1662;1662;1662;1662;1662;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19114;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19176;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19211;ms;1662;1662;1662;1662;1662;1662;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19149;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19239;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19277;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19145;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19093;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19159;ms;1664;1664;1664;1664;1664;1664;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19097;ms;1664;1664;1664;1664;1664;1664;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19125;ms;1666;1666;1666;1666;1666;1666;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19207;ms;1670;1670;1670;1670;1670;1670;;;1;1;1;1;1;;;;;;;;;;
ftv44.atsp;19256;ms;1662;1662;1662;1662;1662;1662;;;1;1;1;1;1;;;;;;;;;;
