Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ft53.atsp;10002;ms;7047;167;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10030;ms;7106;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10040;ms;7446;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;6978;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10013;ms;7057;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10020;ms;7357;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10025;ms;7427;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10011;ms;7649;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10033;ms;7408;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10010;ms;7388;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10010;ms;7106;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7615;171;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10012;ms;7023;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10045;ms;7401;166;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7245;167;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10032;ms;7200;167;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10014;ms;7231;166;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10010;ms;7278;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;7043;165;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10035;ms;7346;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10017;ms;7417;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
