Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1683;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10015;ms;1674;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1682;264;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1622;261;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10013;ms;1640;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1650;263;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10024;ms;1640;264;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1729;260;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1682;252;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1729;251;150;3;0.15;2;1;2;35;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10025;ms;1729;257;150;3;0.15;2;1;2;35;1;10;1675,75;1622;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1640;264;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10033;ms;1690;263;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10006;ms;1650;261;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1623;263;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1683;264;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1623;262;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1693;264;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1650;265;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1650;263;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10007;ms;1659;262;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10015;ms;1708;262;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1650;262;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1680;261;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10032;ms;1637;263;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10015;ms;1728;264;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10060;ms;1682;263;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10014;ms;1665;259;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10023;ms;1650;270;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1714;265;150;3;0.15;2;1;2;45;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10000;ms;1650;267;150;3;0.15;2;1;2;45;1;10;1666,25;1623;;;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;10761;170;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10020;ms;11266;170;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10029;ms;10945;169;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10016;ms;9872;170;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10018;ms;10609;166;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10022;ms;10804;144;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10021;ms;11157;167;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10003;ms;10667;165;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;11529;167;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10018;ms;10402;167;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10011;ms;11259;168;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10041;ms;11019;162;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10021;ms;10554;167;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10036;ms;10610;169;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10041;ms;12409;164;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10001;ms;10213;162;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10025;ms;10701;168;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10045;ms;11030;162;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;11100;159;150;3;0.15;2;1;2;0;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;10616;165;150;3;0.15;2;1;2;0;1;10;10876,15;9872;;;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7590;167;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10016;ms;7452;163;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10003;ms;7707;164;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10026;ms;7567;164;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10027;ms;7277;166;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10016;ms;8033;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10013;ms;7746;167;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10029;ms;7763;169;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10014;ms;8011;164;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
