Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;9326;ms;1666;1;49;41;50;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9298;ms;1666;1;51;42;51;51;42;;;;;;;;;;;;;;;;;;
ftv44.atsp;9437;ms;1666;1;40;34;40;39;34;;;;;;;;;;;;;;;;;;
ftv44.atsp;9488;ms;1666;1;46;37;46;45;37;;;;;;;;;;;;;;;;;;
ftv44.atsp;9715;ms;1666;1;49;42;48;50;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9568;ms;1666;1;47;40;47;47;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9560;ms;1662;1;46;40;48;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9517;ms;1666;1;46;40;45;46;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9464;ms;1685;1;46;38;45;45;37;;;;;;;;;;;;;;;;;;
ftv44.atsp;9455;ms;1685;1;49;41;47;47;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9551;ms;1705;1;47;40;47;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9599;ms;1705;1;47;40;47;46;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9551;ms;1666;1;43;36;42;43;36;;;;;;;;;;;;;;;;;;
ftv44.atsp;9546;ms;1683;1;46;38;47;46;37;;;;;;;;;;;;;;;;;;
ftv44.atsp;9412;ms;1690;1;47;39;48;47;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9603;ms;1687;1;45;36;43;43;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;10002;ms;1693;1;46;38;45;47;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9460;ms;1662;1;46;38;45;45;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9732;ms;1704;1;48;40;46;46;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9428;ms;1648;1;46;39;47;48;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9409;ms;1664;1;44;37;43;44;37;;;;;;;;;;;;;;;;;;
ftv44.atsp;9502;ms;1690;1;49;41;48;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9645;ms;1704;1;47;38;46;47;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9703;ms;1717;1;47;40;48;47;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9313;ms;1685;1;49;41;49;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9531;ms;1666;1;50;42;49;50;42;;;;;;;;;;;;;;;;;;
ftv44.atsp;9325;ms;1673;1;47;38;46;46;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9855;ms;1662;1;48;41;47;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9375;ms;1666;1;46;39;47;45;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9317;ms;1704;1;46;39;45;45;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9492;ms;1683;1;49;40;47;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9423;ms;1687;1;49;40;49;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9510;ms;1679;1;47;39;47;47;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9538;ms;1666;1;49;41;48;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9481;ms;1683;1;42;34;42;42;35;;;;;;;;;;;;;;;;;;
ftv44.atsp;9501;ms;1666;1;45;38;45;44;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9473;ms;1666;1;50;41;46;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9444;ms;1693;1;47;41;48;48;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9516;ms;1704;1;48;40;47;49;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9544;ms;1683;1;49;41;49;48;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9393;ms;1687;1;49;40;48;47;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9582;ms;1664;1;49;40;47;49;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9407;ms;1704;1;46;38;45;45;38;;;;;;;;;;;;;;;;;;
ftv44.atsp;9227;ms;1669;1;49;40;48;49;40;;;;;;;;;;;;;;;;;;
ftv44.atsp;9282;ms;1666;1;48;39;47;48;39;;;;;;;;;;;;;;;;;;
ftv44.atsp;9325;ms;1683;1;45;37;44;44;37;;;;;;;;;;;;;;;;;;
ftv44.atsp;9514;ms;1704;1;49;40;48;49;41;;;;;;;;;;;;;;;;;;
ftv44.atsp;9338;ms;1648;1;45;37;45;46;36;;;;;;;;;;;;;;;;;;
ftv44.atsp;9466;ms;1669;1;44;38;43;44;37;;;;;;;;;;;;;;;;;;
