Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;
rbg403.atsp;27477;ms;3489;1;1;1;1;1;1;
rbg403.atsp;27057;ms;3479;1;1;1;1;1;1;
rbg403.atsp;27185;ms;3482;1;1;1;1;1;1;
rbg403.atsp;27537;ms;3488;1;1;1;1;1;1;
rbg403.atsp;27577;ms;3485;1;1;1;1;1;1;
rbg403.atsp;27353;ms;3486;1;1;1;1;1;1;
rbg403.atsp;28119;ms;3481;1;1;1;1;1;1;
rbg403.atsp;27295;ms;3488;1;1;1;1;1;1;
rbg403.atsp;27753;ms;3484;1;1;1;1;1;1;
rbg403.atsp;27298;ms;3488;1;1;1;1;1;1;
rbg403.atsp;27467;ms;3486;1;1;1;1;1;1;
rbg403.atsp;28561;ms;3477;1;1;1;1;1;1;
rbg403.atsp;27562;ms;3486;1;1;1;1;1;1;
rbg403.atsp;27898;ms;3489;1;1;1;1;1;1;
rbg403.atsp;28168;ms;3484;1;1;1;1;1;1;
rbg403.atsp;27745;ms;3490;1;1;1;1;1;1;
rbg403.atsp;27624;ms;3489;1;1;1;1;1;1;
rbg403.atsp;27815;ms;3481;1;1;1;1;1;1;
rbg403.atsp;28295;ms;3486;1;1;1;1;1;1;
rbg403.atsp;27702;ms;3482;1;1;1;1;1;1;
rbg403.atsp;28719;ms;3485;1;1;1;1;1;1;
